fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance,moneda_original
2010-01,Canadá,CA,Alimentos y animales vivos,0,2563020369.2249994,1907389408.1660001,655630961.0589993,USD
2010-02,Canadá,CA,Alimentos y animales vivos,0,2545244262.5540004,1775396601.51,769847661.0440004,USD
2010-03,Canadá,CA,Alimentos y animales vivos,0,3133185598.917,2148077971.0,985107627.9169998,USD
2010-04,Canadá,CA,Alimentos y animales vivos,0,2838674891.0509987,2080145610.7519999,758529280.2989988,USD
2010-05,Canadá,CA,Alimentos y animales vivos,0,3151277892.503,2009711071.5880003,1141566820.9149995,USD
2010-06,Canadá,CA,Alimentos y animales vivos,0,3047129224.8550005,2027495539.9880002,1019633684.8670003,USD
2010-07,Canadá,CA,Alimentos y animales vivos,0,2957304684.5170007,2035833635.846,921471048.6710007,USD
2010-08,Canadá,CA,Alimentos y animales vivos,0,2930649488.3169994,2073692534.9069998,856956953.4099996,USD
2010-09,Canadá,CA,Alimentos y animales vivos,0,3048877291.3010006,2113260341.888,935616949.4130006,USD
2010-10,Canadá,CA,Alimentos y animales vivos,0,3619098473.878,2210825624.4339995,1408272849.4440002,USD
2010-11,Canadá,CA,Alimentos y animales vivos,0,3682417660.1709995,2295287637.286,1387130022.8849998,USD
2010-12,Canadá,CA,Alimentos y animales vivos,0,3478577445.1220007,2223557024.002,1255020421.1200008,USD
2011-01,Canadá,CA,Alimentos y animales vivos,0,2955436982.0179996,2200084113.205,755352868.8129997,USD
2011-02,Canadá,CA,Alimentos y animales vivos,0,3055414451.2870007,2043984230.6569998,1011430220.6300008,USD
2011-03,Canadá,CA,Alimentos y animales vivos,0,3400559525.836,2425866406.217,974693119.619,USD
2011-04,Canadá,CA,Alimentos y animales vivos,0,3614703453.7980003,2355844757.3719997,1258858696.4260006,USD
2011-05,Canadá,CA,Alimentos y animales vivos,0,3765762977.8940005,2344070401.716,1421692576.1780005,USD
2011-06,Canadá,CA,Alimentos y animales vivos,0,3576185343.515,2448787141.303,1127398202.212,USD
2011-07,Canadá,CA,Alimentos y animales vivos,0,3545162176.8300004,2401319094.4140005,1143843082.416,USD
2011-08,Canadá,CA,Alimentos y animales vivos,0,3534165940.7110004,2595124587.4690003,939041353.2420001,USD
2011-09,Canadá,CA,Alimentos y animales vivos,0,3796553110.021,2365145268.8600006,1431407841.1609993,USD
2011-10,Canadá,CA,Alimentos y animales vivos,0,4128486812.998999,2496076862.5060005,1632409950.4929986,USD
2011-11,Canadá,CA,Alimentos y animales vivos,0,4151328063.264,2498389124.674,1652938938.5900002,USD
2011-12,Canadá,CA,Alimentos y animales vivos,0,3844958724.1980004,2385663578.1210003,1459295146.0770001,USD
2012-01,Canadá,CA,Alimentos y animales vivos,0,3404825504.831999,2326056400.224,1078769104.6079988,USD
2012-02,Canadá,CA,Alimentos y animales vivos,0,3442342274.4330006,2209252331.3710003,1233089943.0620003,USD
2012-03,Canadá,CA,Alimentos y animales vivos,0,3724935295.698,2505478284.301,1219457011.3969998,USD
2012-04,Canadá,CA,Alimentos y animales vivos,0,3854517498.021,2380115751.4300003,1474401746.5909996,USD
2012-05,Canadá,CA,Alimentos y animales vivos,0,4037618497.8119993,2463254414.355,1574364083.4569993,USD
2012-06,Canadá,CA,Alimentos y animales vivos,0,3453155616.4220004,2528185312.978,924970303.4440002,USD
2012-07,Canadá,CA,Alimentos y animales vivos,0,3392195479.348,2496516592.173,895678887.1750002,USD
2012-08,Canadá,CA,Alimentos y animales vivos,0,2599717395.231,3692416587.3240004,-1092699192.0930004,USD
2012-09,Canadá,CA,Alimentos y animales vivos,0,3890012317.3039994,2515800745.4940004,1374211571.809999,USD
2012-10,Canadá,CA,Alimentos y animales vivos,0,4870556381.991001,2720591493.052,2149964888.939001,USD
2012-11,Canadá,CA,Alimentos y animales vivos,0,4339914250.355,2716798820.9790006,1623115429.375999,USD
2012-12,Canadá,CA,Alimentos y animales vivos,0,4102185035.4730005,2491835274.3119993,1610349761.1610012,USD
2013-01,Canadá,CA,Alimentos y animales vivos,0,3752096917.84,2573237467.787,1178859450.053,USD
2013-02,Canadá,CA,Alimentos y animales vivos,0,3460147748.69,2289637799.5439997,1170509949.1460004,USD
2013-03,Canadá,CA,Alimentos y animales vivos,0,3973103524.3750005,2493275247.945,1479828276.4300003,USD
2013-04,Canadá,CA,Alimentos y animales vivos,0,3927131755.4389997,2512546800.5699997,1414584954.869,USD
2013-05,Canadá,CA,Alimentos y animales vivos,0,4421364530.78,2722750127.6620007,1698614403.117999,USD
2013-06,Canadá,CA,Alimentos y animales vivos,0,3519864506.2370005,2538770513.9570003,981093992.2800002,USD
2013-07,Canadá,CA,Alimentos y animales vivos,0,3660316045.983,2684999382.3750005,975316663.6079993,USD
2013-08,Canadá,CA,Alimentos y animales vivos,0,3433889718.053999,2589528870.9540005,844360847.0999985,USD
2013-09,Canadá,CA,Alimentos y animales vivos,0,3749563710.79,2546961015.6719995,1202602695.1180005,USD
2013-10,Canadá,CA,Alimentos y animales vivos,0,4690612336.136999,2743855461.8720007,1946756874.2649984,USD
2013-11,Canadá,CA,Alimentos y animales vivos,0,4464822926.835001,2629351735.0049996,1835471191.8300014,USD
2013-12,Canadá,CA,Alimentos y animales vivos,0,3887809352.8030005,2425875067.5359993,1461934285.2670012,USD
2014-01,Canadá,CA,Alimentos y animales vivos,0,3590973510.466,2511778657.2749996,1079194853.1910005,USD
2014-02,Canadá,CA,Alimentos y animales vivos,0,3352131404.177001,2338647413.9,1013483990.2770009,USD
2014-03,Canadá,CA,Alimentos y animales vivos,0,3826002492.517,2546025026.947,1279977465.5700002,USD
2014-04,Canadá,CA,Alimentos y animales vivos,0,4033931021.72,2762218551.601001,1271712470.118999,USD
2014-05,Canadá,CA,Alimentos y animales vivos,0,4562750367.6449995,2792502748.8380003,1770247618.8069992,USD
2014-06,Canadá,CA,Alimentos y animales vivos,0,4558713837.1,2740181437.8209996,1818532399.2790008,USD
2014-07,Canadá,CA,Alimentos y animales vivos,0,4338716783.099999,2738022046.773,1600694736.3269997,USD
2014-08,Canadá,CA,Alimentos y animales vivos,0,4198106053.323,2663637428.15,1534468625.1729999,USD
2014-09,Canadá,CA,Alimentos y animales vivos,0,4092384929.87,2681700400.2279997,1410684529.6420002,USD
2014-10,Canadá,CA,Alimentos y animales vivos,0,4518443376.446,2926383320.39,1592060056.0560002,USD
2014-11,Canadá,CA,Alimentos y animales vivos,0,4315103455.768,2648264340.0579996,1666839115.71,USD
2014-12,Canadá,CA,Alimentos y animales vivos,0,4194197310.330001,2754405638.347,1439791671.9830008,USD
2015-01,Canadá,CA,Alimentos y animales vivos,0,3658328080.109001,2578214481.22,1080113598.8890014,USD
2015-02,Canadá,CA,Alimentos y animales vivos,0,3345812295.867999,2310738151.467,1035074144.4009991,USD
2015-03,Canadá,CA,Alimentos y animales vivos,0,3837087034.094001,2676339139.5340004,1160747894.5600004,USD
2015-04,Canadá,CA,Alimentos y animales vivos,0,3592291574.786,2619245980.75,973045594.0359998,USD
2015-05,Canadá,CA,Alimentos y animales vivos,0,3885400310.2190003,2719696821.531,1165703488.6880002,USD
2015-06,Canadá,CA,Alimentos y animales vivos,0,4353414123.773001,2650951701.6019998,1702462422.171001,USD
2015-07,Canadá,CA,Alimentos y animales vivos,0,3800989261.370999,2523903883.6460004,1277085377.7249985,USD
2015-08,Canadá,CA,Alimentos y animales vivos,0,3703045427.261,2517775024.3159995,1185270402.9450006,USD
2015-09,Canadá,CA,Alimentos y animales vivos,0,7914839289.898001,5017927043.569001,2896912246.3289995,USD
2015-10,Canadá,CA,Alimentos y animales vivos,0,4394480531.268001,2685263680.932,1709216850.3360004,USD
2015-11,Canadá,CA,Alimentos y animales vivos,0,4277938331.6629996,2621258378.5350003,1656679953.1279993,USD
2015-12,Canadá,CA,Alimentos y animales vivos,0,3986129567.5639997,2468605432.41,1517524135.1539998,USD
2016-01,Canadá,CA,Alimentos y animales vivos,0,3405598507.142,2456355196.08,949243311.0620003,USD
2016-02,Canadá,CA,Alimentos y animales vivos,0,3339851857.1660004,2424597323.42,915254533.7460003,USD
2016-03,Canadá,CA,Alimentos y animales vivos,0,3649118753.2920003,2603659096.4100003,1045459656.882,USD
2016-04,Canadá,CA,Alimentos y animales vivos,0,3762088482.1750007,2549218997.265,1212869484.9100008,USD
2016-05,Canadá,CA,Alimentos y animales vivos,0,3874557837.230001,2647087892.557,1227469944.6730008,USD
2016-06,Canadá,CA,Alimentos y animales vivos,0,3852325378.800999,2593753246.9320006,1258572131.8689985,USD
2016-07,Canadá,CA,Alimentos y animales vivos,0,3756408873.2809997,2470498531.496,1285910341.7849998,USD
2016-08,Canadá,CA,Alimentos y animales vivos,0,3711492820.9470005,2606413512.4969997,1105079308.4500008,USD
2016-09,Canadá,CA,Alimentos y animales vivos,0,3953997078.81,2586134677.04,1367862401.77,USD
2016-10,Canadá,CA,Alimentos y animales vivos,0,4398592755.507001,2595818272.3599997,1802774483.1470013,USD
2016-11,Canadá,CA,Alimentos y animales vivos,0,4454079328.653,2690084629.193,1763994699.46,USD
2016-12,Canadá,CA,Alimentos y animales vivos,0,4100256803.8929996,2485705606.9939995,1614551196.8990002,USD
2017-01,Canadá,CA,Alimentos y animales vivos,0,3961642501.0309987,2488327653.8750005,1473314847.1559982,USD
2017-02,Canadá,CA,Alimentos y animales vivos,0,3428604810.1199994,2347471623.516,1081133186.6039996,USD
2017-03,Canadá,CA,Alimentos y animales vivos,0,3946279747.346,2709775778.3550005,1236503968.9909997,USD
