fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones,moneda_original
2010-01,Canadá,CA,Australia,AU,170372890.861,103113919.101,USD
2010-02,Canadá,CA,Australia,AU,163589666.706,108011980.563,USD
2010-03,Canadá,CA,Australia,AU,146516943.62,112222959.634,USD
2010-04,Canadá,CA,Australia,AU,145730921.914,141300977.179,USD
2010-05,Canadá,CA,Australia,AU,106769363.03,142204776.336,USD
2010-06,Canadá,CA,Australia,AU,209180075.31,184717683.433,USD
2010-07,Canadá,CA,Australia,AU,120935452.569,172824806.395,USD
2010-08,Canadá,CA,Australia,AU,131626768.664,89086700.021,USD
2010-09,Canadá,CA,Australia,AU,128481536.357,160308222.373,USD
2010-10,Canadá,CA,Australia,AU,109098563.612,81925674.43,USD
2010-11,Canadá,CA,Australia,AU,127851313.436,139290047.349,USD
2010-12,Canadá,CA,Australia,AU,142876906.38,166527723.513,USD
2011-01,Canadá,CA,Australia,AU,144949149.219,84212666.214,USD
2011-02,Canadá,CA,Australia,AU,110182219.051,108155177.718,USD
2011-03,Canadá,CA,Australia,AU,184015679.636,236768851.604,USD
2011-04,Canadá,CA,Australia,AU,119728598.504,107407533.662,USD
2011-05,Canadá,CA,Australia,AU,145056284.323,177151277.466,USD
2011-06,Canadá,CA,Australia,AU,150157107.415,166899496.17,USD
2011-07,Canadá,CA,Australia,AU,188359677.043,117354180.721,USD
2011-08,Canadá,CA,Australia,AU,230840999.213,192938126.523,USD
2011-09,Canadá,CA,Australia,AU,144778268.251,158362116.382,USD
2011-10,Canadá,CA,Australia,AU,141878891.824,146422560.038,USD
2011-11,Canadá,CA,Australia,AU,186581904.983,131753081.817,USD
2011-12,Canadá,CA,Australia,AU,160600353.912,152677608.635,USD
2012-01,Canadá,CA,Australia,AU,251569678.204,235383350.276,USD
2012-02,Canadá,CA,Australia,AU,157799132.988,126301842.63,USD
2012-03,Canadá,CA,Australia,AU,158308985.466,121624436.419,USD
2012-04,Canadá,CA,Australia,AU,145088309.048,179325345.776,USD
2012-05,Canadá,CA,Australia,AU,165784624.542,145411385.449,USD
2012-06,Canadá,CA,Australia,AU,151042836.218,225734174.895,USD
2012-07,Canadá,CA,Australia,AU,218014942.526,154914370.806,USD
2012-08,Canadá,CA,Australia,AU,155444023.842,177773763.723,USD
2012-09,Canadá,CA,Australia,AU,154363068.55,201348291.663,USD
2012-10,Canadá,CA,Australia,AU,133332630.723,210333111.353,USD
2012-11,Canadá,CA,Australia,AU,175355387.537,145492335.37,USD
2012-12,Canadá,CA,Australia,AU,142290840.826,171058104.002,USD
2013-01,Canadá,CA,Australia,AU,141704350.045,221792442.6,USD
2013-02,Canadá,CA,Australia,AU,124525209.577,118498216.464,USD
2013-03,Canadá,CA,Australia,AU,127762375.09,223747638.66,USD
2013-04,Canadá,CA,Australia,AU,119305861.866,162658538.703,USD
2013-05,Canadá,CA,Australia,AU,125087111.206,117785838.954,USD
2013-06,Canadá,CA,Australia,AU,120138201.437,135215723.563,USD
2013-07,Canadá,CA,Australia,AU,155028322.773,142219738.907,USD
2013-08,Canadá,CA,Australia,AU,140531467.705,150430959.037,USD
2013-09,Canadá,CA,Australia,AU,178169175.457,95973758.24,USD
2013-10,Canadá,CA,Australia,AU,120279625.357,172377706.311,USD
2013-11,Canadá,CA,Australia,AU,126259891.818,110965885.959,USD
2013-12,Canadá,CA,Australia,AU,117656227.497,82762907.213,USD
2014-01,Canadá,CA,Australia,AU,106609314.533,101787536.852,USD
2014-02,Canadá,CA,Australia,AU,118926283.043,72402854.398,USD
2014-03,Canadá,CA,Australia,AU,108944288.918,103932794.517,USD
2014-04,Canadá,CA,Australia,AU,130802414.79,129049403.585,USD
2014-05,Canadá,CA,Australia,AU,128684655.049,119059456.069,USD
2014-06,Canadá,CA,Australia,AU,147931757.123,96463332.59,USD
2014-07,Canadá,CA,Australia,AU,160579435.721,102597404.157,USD
