fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance,moneda_original
2010-01,China,CN,Alimentos y animales vivos,0,3658684497.0,4268016271.0,-609331774.0,USD
2010-02,China,CN,Alimentos y animales vivos,0,2657083533.0,3173449615.0,-516366082.0,USD
2010-03,China,CN,Alimentos y animales vivos,0,3273209286.0,4550374450.0,-1277165164.0,USD
2010-04,China,CN,Alimentos y animales vivos,0,3412169793.0,4459396506.0,-1047226713.0,USD
2010-05,China,CN,Alimentos y animales vivos,0,3614233759.0,4724584215.0,-1110350456.0,USD
2010-06,China,CN,Alimentos y animales vivos,0,3574829040.0,5424408080.0,-1849579040.0,USD
2010-07,China,CN,Alimentos y animales vivos,0,3817039855.0,4896782900.0,-1079743045.0,USD
2010-08,China,CN,Alimentos y animales vivos,0,3760698389.0,5037213876.0,-1276515487.0,USD
2010-09,China,CN,Alimentos y animales vivos,0,3865388020.0,5401993824.0,-1536605804.0,USD
2010-10,China,CN,Alimentos y animales vivos,0,3793646784.0,4419204678.0,-625557894.0,USD
2010-11,China,CN,Alimentos y animales vivos,0,4917801444.0,5783611561.0,-865810117.0,USD
2010-12,China,CN,Alimentos y animales vivos,0,5281428635.0,6419472599.0,-1138043964.0,USD
2011-01,China,CN,Alimentos y animales vivos,0,5387383750.0,6177370990.0,-789987240.0,USD
2011-02,China,CN,Alimentos y animales vivos,0,2626095413.0,3593775560.0,-967680147.0,USD
2011-03,China,CN,Alimentos y animales vivos,0,4739929245.0,5252134039.0,-512204794.0,USD
2011-04,China,CN,Alimentos y animales vivos,0,4775939406.0,5854149451.0,-1078210045.0,USD
2011-05,China,CN,Alimentos y animales vivos,0,4562498393.0,6020759313.0,-1458260920.0,USD
2011-06,China,CN,Alimentos y animales vivos,0,4349538634.0,5819168019.0,-1469629385.0,USD
2011-07,China,CN,Alimentos y animales vivos,0,4620074595.0,6749186635.0,-2129112040.0,USD
2011-08,China,CN,Alimentos y animales vivos,0,4557155218.0,6800273365.0,-2243118147.0,USD
2011-09,China,CN,Alimentos y animales vivos,0,4607604762.0,6450344597.0,-1842739835.0,USD
2011-10,China,CN,Alimentos y animales vivos,0,4577491189.0,5839628564.0,-1262137375.0,USD
2011-11,China,CN,Alimentos y animales vivos,0,5543605187.0,7220797092.0,-1677191905.0,USD
2011-12,China,CN,Alimentos y animales vivos,0,5968758001.0,7640725385.0,-1671967384.0,USD
2012-01,China,CN,Alimentos y animales vivos,0,5169637090.0,6261270848.0,-1091633758.0,USD
2012-02,China,CN,Alimentos y animales vivos,0,3454101642.0,5823565352.0,-2369463710.0,USD
2012-03,China,CN,Alimentos y animales vivos,0,4851558378.0,7175366654.0,-2323808276.0,USD
2012-04,China,CN,Alimentos y animales vivos,0,4648294988.0,6895052488.0,-2246757500.0,USD
2012-05,China,CN,Alimentos y animales vivos,0,4805713309.0,7540574604.0,-2734861295.0,USD
2012-06,China,CN,Alimentos y animales vivos,0,4578428875.0,7445812820.0,-2867383945.0,USD
2012-07,China,CN,Alimentos y animales vivos,0,4581362472.0,7949014650.0,-3367652178.0,USD
2012-08,China,CN,Alimentos y animales vivos,0,4667813656.0,7410374832.0,-2742561176.0,USD
2012-09,China,CN,Alimentos y animales vivos,0,4999699655.0,8203068515.0,-3203368860.0,USD
2016-01,China,CN,Alimentos y animales vivos,0,5831673044.0,7633334524.0,-1801661480.0,USD
2016-02,China,CN,Alimentos y animales vivos,0,3883307811.0,5307733296.0,-1424425485.0,USD
2016-03,China,CN,Alimentos y animales vivos,0,5315283116.0,7535381680.0,-2220098564.0,USD
2016-04,China,CN,Alimentos y animales vivos,0,5114792577.0,7930840191.0,-2816047614.0,USD
2016-05,China,CN,Alimentos y animales vivos,0,5727098906.0,8492860390.0,-2765761484.0,USD
2016-06,China,CN,Alimentos y animales vivos,0,5268445728.0,8249094005.0,-2980648277.0,USD
2016-07,China,CN,Alimentos y animales vivos,0,5716049105.0,8189850995.0,-2473801890.0,USD
2016-08,China,CN,Alimentos y animales vivos,0,5955491672.0,8920816195.0,-2965324523.0,USD
2016-09,China,CN,Alimentos y animales vivos,0,5564860446.0,8430913678.0,-2866053232.0,USD
2016-10,China,CN,Alimentos y animales vivos,0,5705902510.0,6699444817.0,-993542307.0,USD
2016-11,China,CN,Alimentos y animales vivos,0,6699567478.0,8446787790.0,-1747220312.0,USD
2016-12,China,CN,Alimentos y animales vivos,0,6769957597.0,9802217832.0,-3032260235.0,USD
2017-01,China,CN,Alimentos y animales vivos,0,6120603443.0,8865213906.0,-2744610463.0,USD
2017-02,China,CN,Alimentos y animales vivos,0,3491330432.0,7288895492.0,-3797565060.0,USD
2017-03,China,CN,Alimentos y animales vivos,0,5623054365.0,8491803982.0,-2868749617.0,USD
2017-04,China,CN,Alimentos y animales vivos,0,5490542133.0,9092517757.0,-3601975624.0,USD
2017-05,China,CN,Alimentos y animales vivos,0,5687538605.0,9704756597.0,-4017217992.0,USD
2017-06,China,CN,Alimentos y animales vivos,0,5789237396.0,8602308837.0,-2813071441.0,USD
2017-07,China,CN,Alimentos y animales vivos,0,5646190868.0,9676610297.0,-4030419429.0,USD
2017-08,China,CN,Alimentos y animales vivos,0,5889763501.0,9475506701.0,-3585743200.0,USD
2017-09,China,CN,Alimentos y animales vivos,0,5683720573.0,9261002157.0,-3577281584.0,USD
