fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones,moneda_original
2010-01,China,CN,Australia,AU,2087232760.0,3922804102.0,USD
2010-02,China,CN,Australia,AU,1585135739.0,3564195404.0,USD
2010-03,China,CN,Australia,AU,1911254666.0,4438763637.0,USD
2010-04,China,CN,Australia,AU,1937618955.0,4220147699.0,USD
2010-05,China,CN,Australia,AU,2042203050.0,5142115354.0,USD
2010-06,China,CN,Australia,AU,2114397945.0,4922408073.0,USD
2010-07,China,CN,Australia,AU,2478767998.0,5731092394.0,USD
2010-08,China,CN,Australia,AU,2288543420.0,4823842125.0,USD
2010-09,China,CN,Australia,AU,2579681540.0,6264208819.0,USD
2010-10,China,CN,Australia,AU,2693775795.0,5150022933.0,USD
2010-11,China,CN,Australia,AU,2977478763.0,6054453927.0,USD
2010-12,China,CN,Australia,AU,2532842941.0,6283908764.0,USD
2011-01,China,CN,Australia,AU,2794872425.0,7241024954.0,USD
2011-02,China,CN,Australia,AU,1651207192.0,4493947303.0,USD
2011-03,China,CN,Australia,AU,2702845068.0,5833931751.0,USD
2011-04,China,CN,Australia,AU,2665560079.0,6142305515.0,USD
2011-05,China,CN,Australia,AU,2720058509.0,6217752321.0,USD
2011-06,China,CN,Australia,AU,2663404811.0,6618768666.0,USD
2011-07,China,CN,Australia,AU,2970213698.0,7602873663.0,USD
2011-08,China,CN,Australia,AU,3142059584.0,7404171957.0,USD
2011-09,China,CN,Australia,AU,3133011558.0,8357045324.0,USD
2011-10,China,CN,Australia,AU,3127377899.0,7041574673.0,USD
2011-11,China,CN,Australia,AU,3322931650.0,8262280200.0,USD
2011-12,China,CN,Australia,AU,3018734839.0,7286323817.0,USD
2012-01,China,CN,Australia,AU,3101605263.0,6342160441.0,USD
2012-02,China,CN,Australia,AU,1815753452.0,6639545377.0,USD
2012-03,China,CN,Australia,AU,2987750641.0,6963037559.0,USD
2012-04,China,CN,Australia,AU,2955839376.0,7628379043.0,USD
2012-05,China,CN,Australia,AU,3148726227.0,8162111881.0,USD
2012-06,China,CN,Australia,AU,3158593675.0,6729456498.0,USD
2012-07,China,CN,Australia,AU,3221733193.0,6866698524.0,USD
2012-08,China,CN,Australia,AU,3123481112.0,7615677369.0,USD
2012-09,China,CN,Australia,AU,3602054539.0,6847292447.0,USD
2016-01,China,CN,Australia,AU,3257407980.0,4588730160.0,USD
2016-02,China,CN,Australia,AU,2385331393.0,3840329697.0,USD
2016-03,China,CN,Australia,AU,2660226283.0,5216046593.0,USD
2016-04,China,CN,Australia,AU,2696905036.0,5447155136.0,USD
2016-05,China,CN,Australia,AU,2873210409.0,6074729828.0,USD
2016-06,China,CN,Australia,AU,2819756763.0,5783390554.0,USD
2016-07,China,CN,Australia,AU,3093227915.0,6062983000.0,USD
2016-08,China,CN,Australia,AU,3428299652.0,6392672795.0,USD
2016-09,China,CN,Australia,AU,3588601668.0,6625471883.0,USD
2016-10,China,CN,Australia,AU,3331510962.0,6408301190.0,USD
2016-11,China,CN,Australia,AU,3677570782.0,6805091686.0,USD
2016-12,China,CN,Australia,AU,3470447706.0,7650110178.0,USD
2017-01,China,CN,Australia,AU,3616400276.0,8341473713.0,USD
2017-02,China,CN,Australia,AU,2075029477.0,6926763043.0,USD
2017-03,China,CN,Australia,AU,3262717283.0,8835343188.0,USD
2017-04,China,CN,Australia,AU,3076504781.0,8465814726.0,USD
2017-05,China,CN,Australia,AU,3220236972.0,7374655934.0,USD
2017-06,China,CN,Australia,AU,3252597678.0,8002482424.0,USD
2017-07,China,CN,Australia,AU,3347156331.0,7494281420.0,USD
2017-08,China,CN,Australia,AU,3507175740.0,6974664860.0,USD
2017-09,China,CN,Australia,AU,3652524397.0,8642817746.0,USD
2017-10,China,CN,Australia,AU,3807321128.0,7931344098.0,USD
2017-11,China,CN,Australia,AU,4399130145.0,8346221883.0,USD
2017-12,China,CN,Australia,AU,4221433452.0,7673257894.0,USD
2018-01,China,CN,Australia,AU,3634079782.0,9361223360.0,USD
2018-02,China,CN,Australia,AU,3153208726.0,7596084190.0,USD
2018-03,China,CN,Australia,AU,3238386042.0,8891853035.0,USD
2018-04,China,CN,Australia,AU,3835009120.0,8244384006.0,USD
2018-05,China,CN,Australia,AU,3838537651.0,9254279886.0,USD
2018-06,China,CN,Australia,AU,3953039457.0,9076742415.0,USD
2018-07,China,CN,Australia,AU,4020507073.0,9804430641.0,USD
2018-08,China,CN,Australia,AU,4348097642.0,9089780514.0,USD
2018-09,China,CN,Australia,AU,4296035942.0,8852953870.0,USD
2018-10,China,CN,Australia,AU,4462419210.0,8629974222.0,USD
2018-11,China,CN,Australia,AU,4554993292.0,9724364529.0,USD
2018-12,China,CN,Australia,AU,3995745390.0,7284785227.0,USD
2019-01,China,CN,Australia,AU,4343324637.0,10246390509.0,USD
2019-02,China,CN,Australia,AU,2673462232.0,8086687181.0,USD
2019-03,China,CN,Australia,AU,3999830447.0,9332969700.0,USD
2019-04,China,CN,Australia,AU,3333452706.0,10054274583.0,USD
2019-05,China,CN,Australia,AU,3940623843.0,10089796919.0,USD
2019-06,China,CN,Australia,AU,3840387596.0,10257816288.0,USD
2019-07,China,CN,Australia,AU,4088837871.0,11929519141.0,USD
2019-08,China,CN,Australia,AU,3616190471.0,11839342825.0,USD
2019-09,China,CN,Australia,AU,4710202135.0,10750622093.0,USD
2019-10,China,CN,Australia,AU,4508504368.0,9481108877.0,USD
2019-11,China,CN,Australia,AU,4665050346.0,8713605988.0,USD
2019-12,China,CN,Australia,AU,4509686936.0,10507529067.0,USD
2020-01,China,CN,Australia,AU,4094239098.0,11084077793.0,USD
2020-02,China,CN,Australia,AU,1593644246.0,7901219148.0,USD
2020-03,China,CN,Australia,AU,3655557247.0,8918136721.0,USD
2020-04,China,CN,Australia,AU,4360374542.0,9980859007.0,USD
2020-05,China,CN,Australia,AU,4846749025.0,8901241241.0,USD
2020-06,China,CN,Australia,AU,4280908822.0,9976120064.0,USD
2020-07,China,CN,Australia,AU,4719561051.0,11273274316.0,USD
2020-08,China,CN,Australia,AU,4487340364.0,9158629040.0,USD
2020-09,China,CN,Australia,AU,4801190054.0,10474182707.0,USD
2020-10,China,CN,Australia,AU,5242037483.0,10214528619.0,USD
2020-11,China,CN,Australia,AU,5696807006.0,9627815890.0,USD
2020-12,China,CN,Australia,AU,5689758234.0,10183658353.0,USD
2021-01,China,CN,Australia,AU,4665633216.0,11164393937.0,USD
2021-02,China,CN,Australia,AU,4818032514.0,10825405615.0,USD
2021-03,China,CN,Australia,AU,4444671902.0,13369560078.0,USD
2021-04,China,CN,Australia,AU,5153968893.0,15110214052.0,USD
2021-05,China,CN,Australia,AU,4817121389.0,14251837447.0,USD
2021-06,China,CN,Australia,AU,5325388694.0,15332810529.0,USD
2021-07,China,CN,Australia,AU,5058425237.0,15332183861.0,USD
2021-08,China,CN,Australia,AU,5772927494.0,17495164712.0,USD
2021-09,China,CN,Australia,AU,5869273057.0,13936703635.0,USD
2021-10,China,CN,Australia,AU,6341390469.0,11977648784.0,USD
2021-11,China,CN,Australia,AU,6478082300.0,12814845903.0,USD
2021-12,China,CN,Australia,AU,6748763595.0,11275591891.0,USD
2022-01,China,CN,Australia,AU,6867545763.0,13227506070.0,USD
2022-02,China,CN,Australia,AU,4969481182.0,10081996462.0,USD
2022-03,China,CN,Australia,AU,5875280629.0,11851162692.0,USD
2022-04,China,CN,Australia,AU,5525456411.0,11253986805.0,USD
2022-05,China,CN,Australia,AU,5795016091.0,12689593856.0,USD
2022-06,China,CN,Australia,AU,6624886363.0,12019176395.0,USD
2022-07,China,CN,Australia,AU,7032070844.0,13531865794.0,USD
2022-08,China,CN,Australia,AU,6984612878.0,12047615013.0,USD
2022-09,China,CN,Australia,AU,7928743954.0,11495809807.0,USD
2022-10,China,CN,Australia,AU,6218850316.0,10548422599.0,USD
2022-11,China,CN,Australia,AU,6910315901.0,11838244753.0,USD
2022-12,China,CN,Australia,AU,7213274285.0,11575710121.0,USD
2023-01,China,CN,Australia,AU,7146527120.0,13491253447.0,USD
2023-02,China,CN,Australia,AU,4590995119.0,12918307975.0,USD
2023-03,China,CN,Australia,AU,6658954094.0,13791184459.0,USD
2023-04,China,CN,Australia,AU,6070970709.0,13196825704.0,USD
2023-05,China,CN,Australia,AU,5474986227.0,13185798799.0,USD
2023-06,China,CN,Australia,AU,6075207677.0,13102365280.0,USD
2023-07,China,CN,Australia,AU,5720204812.0,12535561431.0,USD
2023-08,China,CN,Australia,AU,6182547449.0,12364185999.0,USD
2023-09,China,CN,Australia,AU,6552745804.0,12218573110.0,USD
2023-10,China,CN,Australia,AU,6607331940.0,12066908968.0,USD
2023-11,China,CN,Australia,AU,6386857156.0,12853423185.0,USD
2023-12,China,CN,Australia,AU,6451805095.0,13808661464.0,USD
2024-01,China,CN,Australia,AU,6240492055.0,14796480580.0,USD
2024-02,China,CN,Australia,AU,4615893993.0,11168985228.0,USD
2024-03,China,CN,Australia,AU,5893490109.0,12479852533.0,USD
2024-04,China,CN,Australia,AU,5823834756.0,12021497075.0,USD
2024-05,China,CN,Australia,AU,5495934095.0,12570906224.0,USD
2024-06,China,CN,Australia,AU,6161754024.0,11829321089.0,USD
2024-07,China,CN,Australia,AU,5579738349.0,11375794998.0,USD
2024-08,China,CN,Australia,AU,5985915805.0,9784273717.0,USD
2024-09,China,CN,Australia,AU,6074230999.0,10721523242.0,USD
2024-10,China,CN,Australia,AU,6772492427.0,10932538857.0,USD
2024-11,China,CN,Australia,AU,6400539348.0,11185525487.0,USD
2024-12,China,CN,Australia,AU,5703656712.0,11919725462.0,USD
2010-01,China,CN,Belgica,BE,1167799045.0,616413592.0,USD
2010-02,China,CN,Belgica,BE,880851159.0,559394401.0,USD
2010-03,China,CN,Belgica,BE,906277757.0,821009981.0,USD
2010-04,China,CN,Belgica,BE,978222027.0,663525280.0,USD
2010-05,China,CN,Belgica,BE,1245704695.0,653881631.0,USD
2010-06,China,CN,Belgica,BE,1330088501.0,638825468.0,USD
2010-07,China,CN,Belgica,BE,1442858527.0,636473468.0,USD
2010-08,China,CN,Belgica,BE,1300128418.0,569019647.0,USD
2010-09,China,CN,Belgica,BE,1198324396.0,696510050.0,USD
2010-10,China,CN,Belgica,BE,1035697099.0,578129796.0,USD
2010-11,China,CN,Belgica,BE,1371936241.0,665520446.0,USD
2010-12,China,CN,Belgica,BE,1448737660.0,733172415.0,USD
2011-01,China,CN,Belgica,BE,1567344238.0,725296690.0,USD
2011-02,China,CN,Belgica,BE,926789138.0,493681205.0,USD
2011-03,China,CN,Belgica,BE,1611972149.0,860068947.0,USD
2011-04,China,CN,Belgica,BE,1499080364.0,902059261.0,USD
2011-05,China,CN,Belgica,BE,1819657643.0,895481139.0,USD
2011-06,China,CN,Belgica,BE,1662262144.0,986353813.0,USD
2011-07,China,CN,Belgica,BE,1923485419.0,776792189.0,USD
2011-08,China,CN,Belgica,BE,1808156190.0,795333897.0,USD
2011-09,China,CN,Belgica,BE,1538717885.0,786641857.0,USD
2011-10,China,CN,Belgica,BE,1288836153.0,979695244.0,USD
2011-11,China,CN,Belgica,BE,1751608538.0,947103604.0,USD
2011-12,China,CN,Belgica,BE,1580476029.0,985795976.0,USD
2012-01,China,CN,Belgica,BE,1329636126.0,639629964.0,USD
2012-02,China,CN,Belgica,BE,870010146.0,937997851.0,USD
2012-03,China,CN,Belgica,BE,1386598337.0,850367721.0,USD
2012-04,China,CN,Belgica,BE,1536808703.0,769240146.0,USD
2012-05,China,CN,Belgica,BE,1579472445.0,902386337.0,USD
2012-06,China,CN,Belgica,BE,1587522542.0,819050477.0,USD
2012-07,China,CN,Belgica,BE,1453379022.0,803735232.0,USD
2012-08,China,CN,Belgica,BE,1421292808.0,828218772.0,USD
2012-09,China,CN,Belgica,BE,1317812187.0,746178459.0,USD
2016-01,China,CN,Belgica,BE,1316339341.0,497282916.0,USD
2016-02,China,CN,Belgica,BE,996954961.0,392553444.0,USD
2016-03,China,CN,Belgica,BE,1050192276.0,754484447.0,USD
2016-04,China,CN,Belgica,BE,1139543595.0,618142818.0,USD
2016-05,China,CN,Belgica,BE,1349601662.0,657078657.0,USD
2016-06,China,CN,Belgica,BE,1235632287.0,591862973.0,USD
2016-07,China,CN,Belgica,BE,1300593017.0,569263691.0,USD
2016-08,China,CN,Belgica,BE,1386974797.0,547950304.0,USD
2016-09,China,CN,Belgica,BE,1169014314.0,491933600.0,USD
2016-10,China,CN,Belgica,BE,1074518712.0,497086626.0,USD
2016-11,China,CN,Belgica,BE,1151833784.0,590773165.0,USD
2016-12,China,CN,Belgica,BE,1560256364.0,665642726.0,USD
2017-01,China,CN,Belgica,BE,1367324852.0,591363652.0,USD
2017-02,China,CN,Belgica,BE,869254904.0,472377533.0,USD
2017-03,China,CN,Belgica,BE,1262183502.0,681577365.0,USD
2017-04,China,CN,Belgica,BE,1217254616.0,590602106.0,USD
2017-05,China,CN,Belgica,BE,1328719704.0,650806791.0,USD
2017-06,China,CN,Belgica,BE,1391570481.0,625154719.0,USD
2017-07,China,CN,Belgica,BE,1378985464.0,599113560.0,USD
2017-08,China,CN,Belgica,BE,1488371354.0,635449875.0,USD
2017-09,China,CN,Belgica,BE,1343780668.0,644024210.0,USD
2017-10,China,CN,Belgica,BE,1123810933.0,565195353.0,USD
2017-11,China,CN,Belgica,BE,1338171646.0,723107499.0,USD
2017-12,China,CN,Belgica,BE,1628693162.0,771122246.0,USD
2018-01,China,CN,Belgica,BE,1437710283.0,669435571.0,USD
2018-02,China,CN,Belgica,BE,1303989379.0,366976078.0,USD
2018-03,China,CN,Belgica,BE,1143192719.0,643710140.0,USD
2018-04,China,CN,Belgica,BE,1410088248.0,661696365.0,USD
2018-05,China,CN,Belgica,BE,1479499711.0,671117842.0,USD
2018-06,China,CN,Belgica,BE,1663917335.0,537322898.0,USD
2018-07,China,CN,Belgica,BE,1569421606.0,583908822.0,USD
2018-08,China,CN,Belgica,BE,1548051414.0,549003502.0,USD
2018-09,China,CN,Belgica,BE,1342470014.0,563766247.0,USD
2018-10,China,CN,Belgica,BE,1225801145.0,564926524.0,USD
2018-11,China,CN,Belgica,BE,1360457584.0,674179161.0,USD
2018-12,China,CN,Belgica,BE,1570465545.0,481672146.0,USD
2019-01,China,CN,Belgica,BE,1694858534.0,719736400.0,USD
2019-02,China,CN,Belgica,BE,1097581077.0,349504960.0,USD
2019-03,China,CN,Belgica,BE,1354313552.0,525869646.0,USD
2019-04,China,CN,Belgica,BE,1468290283.0,604359113.0,USD
2019-05,China,CN,Belgica,BE,1623257216.0,521012962.0,USD
2019-06,China,CN,Belgica,BE,1591344481.0,504398777.0,USD
2019-07,China,CN,Belgica,BE,1699838929.0,607336972.0,USD
2019-08,China,CN,Belgica,BE,1669613767.0,550959081.0,USD
2019-09,China,CN,Belgica,BE,1440560720.0,561402012.0,USD
2019-10,China,CN,Belgica,BE,1391559098.0,563614733.0,USD
2019-11,China,CN,Belgica,BE,1462930368.0,757232914.0,USD
2019-12,China,CN,Belgica,BE,1740170654.0,600485032.0,USD
2020-01,China,CN,Belgica,BE,1686695975.0,465950493.0,USD
2020-02,China,CN,Belgica,BE,549231025.0,457727214.0,USD
2020-03,China,CN,Belgica,BE,1322541116.0,625549744.0,USD
2020-04,China,CN,Belgica,BE,1576278965.0,632951749.0,USD
2020-05,China,CN,Belgica,BE,1843588767.0,451486377.0,USD
2020-06,China,CN,Belgica,BE,1707722664.0,729302404.0,USD
2020-07,China,CN,Belgica,BE,2050999214.0,684919563.0,USD
2020-08,China,CN,Belgica,BE,1867956578.0,644048883.0,USD
2020-09,China,CN,Belgica,BE,1891979454.0,726047399.0,USD
2020-10,China,CN,Belgica,BE,1683239618.0,813372363.0,USD
