fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones
2013-01,Canadá,CA,Austria,AT,50546650.53769138,50546650.53769138
2013-02,Canadá,CA,Austria,AT,49465892.03079745,49465892.03079745
2013-03,Canadá,CA,Austria,AT,50181153.965816595,50181153.965816595
2013-04,Canadá,CA,Austria,AT,50247649.12784455,50247649.12784455
2013-05,Canadá,CA,Austria,AT,50286518.870014824,50286518.870014824
2013-06,Canadá,CA,Austria,AT,56390170.94802909,56390170.94802909
2013-07,Canadá,CA,Austria,AT,56294622.00129843,56294622.00129843
2013-08,Canadá,CA,Austria,AT,55341553.632088766,55341553.632088766
2013-09,Canadá,CA,Austria,AT,55487201.756290555,55487201.756290555
2013-10,Canadá,CA,Austria,AT,47188779.73918981,47188779.73918981
2013-11,Canadá,CA,Austria,AT,47131699.43441928,47131699.43441928
2013-12,Canadá,CA,Austria,AT,45724423.47217554,45724423.47217554
2014-01,Canadá,CA,Austria,AT,45909616.079563655,45909616.079563655
2014-02,Canadá,CA,Austria,AT,45272301.85362471,45272301.85362471
2014-03,Canadá,CA,Austria,AT,44510201.67618822,44510201.67618822
2014-04,Canadá,CA,Austria,AT,45011368.11504466,45011368.11504466
2014-05,Canadá,CA,Austria,AT,45706022.684201784,45706022.684201784
2014-06,Canadá,CA,Austria,AT,53357798.75840679,53357798.75840679
2014-07,Canadá,CA,Austria,AT,54107467.52404502,54107467.52404502
2014-08,Canadá,CA,Austria,AT,54017826.45555864,54017826.45555864
2014-09,Canadá,CA,Austria,AT,55354196.41694398,55354196.41694398
2014-10,Canadá,CA,Austria,AT,48074079.96509055,48074079.96509055
2014-11,Canadá,CA,Austria,AT,48338568.04655593,48338568.04655593
2014-12,Canadá,CA,Austria,AT,48068548.76528988,48068548.76528988
2015-01,Canadá,CA,Austria,AT,49862623.38455428,49862623.38455428
2015-02,Canadá,CA,Austria,AT,49300982.49815121,49300982.49815121
2015-03,Canadá,CA,Austria,AT,51242633.87138099,51242633.87138099
2015-04,Canadá,CA,Austria,AT,52580579.73844917,52580579.73844917
2015-05,Canadá,CA,Austria,AT,51593692.30258964,51593692.30258964
2015-06,Canadá,CA,Austria,AT,58106534.11421013,58106534.11421013
2015-07,Canadá,CA,Austria,AT,56995010.05069933,56995010.05069933
2015-08,Canadá,CA,Austria,AT,54995998.51652159,54995998.51652159
2015-09,Canadá,CA,Austria,AT,54093513.66540957,54093513.66540957
2015-10,Canadá,CA,Austria,AT,47668425.85857246,47668425.85857246
2015-11,Canadá,CA,Austria,AT,49128224.666377775,49128224.666377775
2015-12,Canadá,CA,Austria,AT,46966684.15209828,46966684.15209828
2016-01,Canadá,CA,Austria,AT,46394750.272164546,46394750.272164546
2016-02,Canadá,CA,Austria,AT,46789261.786696196,46789261.786696196
2016-03,Canadá,CA,Austria,AT,48762786.05611122,48762786.05611122
2016-04,Canadá,CA,Austria,AT,49223543.57182894,49223543.57182894
2016-05,Canadá,CA,Austria,AT,49000716.881525144,49000716.881525144
2016-06,Canadá,CA,Austria,AT,56929203.493515536,56929203.493515536
2016-07,Canadá,CA,Austria,AT,57121404.643642284,57121404.643642284
2016-08,Canadá,CA,Austria,AT,56614828.02253422,56614828.02253422
2016-09,Canadá,CA,Austria,AT,56152923.420604765,56152923.420604765
2016-10,Canadá,CA,Austria,AT,49107419.62534838,49107419.62534838
2016-11,Canadá,CA,Austria,AT,49362153.316971265,49362153.316971265
2016-12,Canadá,CA,Austria,AT,50935107.65752827,50935107.65752827
2017-01,Canadá,CA,Austria,AT,52261497.529456474,52261497.529456474
2017-02,Canadá,CA,Austria,AT,52598484.68547302,52598484.68547302
2017-03,Canadá,CA,Austria,AT,51261010.73340869,51261010.73340869
2017-04,Canadá,CA,Austria,AT,50898630.74971448,50898630.74971448
2017-05,Canadá,CA,Austria,AT,48756802.279079475,48756802.279079475
2017-06,Canadá,CA,Austria,AT,56443034.2136466,56443034.2136466
2017-07,Canadá,CA,Austria,AT,57599677.363748476,57599677.363748476
2017-08,Canadá,CA,Austria,AT,56641533.750333875,56641533.750333875
2017-09,Canadá,CA,Austria,AT,57610170.09801229,57610170.09801229
2017-10,Canadá,CA,Austria,AT,49545745.36148554,49545745.36148554
