fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance
2002-01,Alemania,DE,Alimentos y animales vivos,0,1856421865,2651326498,-794904633
2002-02,Alemania,DE,Alimentos y animales vivos,0,1828969308,2506251107,-677281799
2002-03,Alemania,DE,Alimentos y animales vivos,0,1873490798,2659197360,-785706562
2002-04,Alemania,DE,Alimentos y animales vivos,0,2042356599,2817243849,-774887250
2002-05,Alemania,DE,Alimentos y animales vivos,0,1839022499,2520742468,-681719969
2002-06,Alemania,DE,Alimentos y animales vivos,0,1957324128,2877327070,-920002942
2002-07,Alemania,DE,Alimentos y animales vivos,0,1964770977,2711564857,-746793880
2002-08,Alemania,DE,Alimentos y animales vivos,0,1773590923,2614036568,-840445645
2002-09,Alemania,DE,Alimentos y animales vivos,0,1954290165,2546845809,-592555644
2002-10,Alemania,DE,Alimentos y animales vivos,0,2191081597,3003738571,-812656974
2002-11,Alemania,DE,Alimentos y animales vivos,0,2071572766,2854368105,-782795339
2002-12,Alemania,DE,Alimentos y animales vivos,0,1984788979,2756455121,-771666142
2003-01,Alemania,DE,Alimentos y animales vivos,0,1917972445,2708767805,-790795360
2003-02,Alemania,DE,Alimentos y animales vivos,0,1871942035,2688026351,-816084316
2003-03,Alemania,DE,Alimentos y animales vivos,0,2029913592,2884355104,-854441512
2003-04,Alemania,DE,Alimentos y animales vivos,0,1949571033,2898237372,-948666339
2003-05,Alemania,DE,Alimentos y animales vivos,0,2054916614,2747501843,-692585229
2003-06,Alemania,DE,Alimentos y animales vivos,0,1978076246,2871305002,-893228756
2003-07,Alemania,DE,Alimentos y animales vivos,0,1956167842,2625536411,-669368569
2003-08,Alemania,DE,Alimentos y animales vivos,0,2184376003,2627903835,-443527832
2003-09,Alemania,DE,Alimentos y animales vivos,0,2175566723,2726675235,-551108512
2003-10,Alemania,DE,Alimentos y animales vivos,0,2073587998,2917218197,-843630199
2003-11,Alemania,DE,Alimentos y animales vivos,0,2263794782,3024794671,-760999889
2003-12,Alemania,DE,Alimentos y animales vivos,0,2010063458,2770628708,-760565250
2004-01,Alemania,DE,Alimentos y animales vivos,0,2148033898,2852118331,-704084433
2004-02,Alemania,DE,Alimentos y animales vivos,0,2018223591,2670436531,-652212940
2004-03,Alemania,DE,Alimentos y animales vivos,0,2149745160,2753724271,-603979111
2004-04,Alemania,DE,Alimentos y animales vivos,0,1949724627,2831255296,-881530669
2004-05,Alemania,DE,Alimentos y animales vivos,0,2209937543,2742753478,-532815935
2004-06,Alemania,DE,Alimentos y animales vivos,0,2102347238,2643655332,-541308094
2004-07,Alemania,DE,Alimentos y animales vivos,0,2152700225,2887170539,-734470314
2004-08,Alemania,DE,Alimentos y animales vivos,0,2074631678,2737522392,-662890714
2004-09,Alemania,DE,Alimentos y animales vivos,0,2189158645,2834301449,-645142804
2004-10,Alemania,DE,Alimentos y animales vivos,0,2338145275,2976392810,-638247535
2004-11,Alemania,DE,Alimentos y animales vivos,0,2463008813,3105134647,-642125834
2004-12,Alemania,DE,Alimentos y animales vivos,0,2106083452,2890327676,-784244224
2005-01,Alemania,DE,Alimentos y animales vivos,0,2297331484,2827803133,-530471649
2005-02,Alemania,DE,Alimentos y animales vivos,0,2176188841,2647979394,-471790553
2005-03,Alemania,DE,Alimentos y animales vivos,0,2248078058,2843606357,-595528299
2005-04,Alemania,DE,Alimentos y animales vivos,0,2251366035,3111744986,-860378951
2005-05,Alemania,DE,Alimentos y animales vivos,0,2551273562,3267387340,-716113778
2005-06,Alemania,DE,Alimentos y animales vivos,0,2306480219,2995522649,-689042430
2005-07,Alemania,DE,Alimentos y animales vivos,0,2335725642,2873853425,-538127783
2005-08,Alemania,DE,Alimentos y animales vivos,0,2393649084,3138742260,-745093176
2005-09,Alemania,DE,Alimentos y animales vivos,0,2492541520,3125332684,-632791164
2005-10,Alemania,DE,Alimentos y animales vivos,0,2655455101,3277266868,-621811767
2005-11,Alemania,DE,Alimentos y animales vivos,0,2599226929,3321331488,-722104559
2005-12,Alemania,DE,Alimentos y animales vivos,0,2630595313,3510422429,-879827116
2006-01,Alemania,DE,Alimentos y animales vivos,0,2593097688,3263755835,-670658147
2006-02,Alemania,DE,Alimentos y animales vivos,0,2499635059,3033785354,-534150295
2006-03,Alemania,DE,Alimentos y animales vivos,0,2541922080,3328957708,-787035628
2006-04,Alemania,DE,Alimentos y animales vivos,0,2428164167,3305265050,-877100883
2006-05,Alemania,DE,Alimentos y animales vivos,0,2619114599,3418476510,-799361911
2006-06,Alemania,DE,Alimentos y animales vivos,0,2530093277,3338319898,-808226621
2006-07,Alemania,DE,Alimentos y animales vivos,0,2506128988,3354831743,-848702755
2006-08,Alemania,DE,Alimentos y animales vivos,0,2704168415,3398783592,-694615177
2006-09,Alemania,DE,Alimentos y animales vivos,0,2785670709,3451202140,-665531431
2006-10,Alemania,DE,Alimentos y animales vivos,0,3067664721,3713936509,-646271788
2006-11,Alemania,DE,Alimentos y animales vivos,0,2807342952,3390817854,-583474902
2006-12,Alemania,DE,Alimentos y animales vivos,0,2850251846,3604004602,-753752756
2007-01,Alemania,DE,Alimentos y animales vivos,0,2702636556,3500211472,-797574916
2007-02,Alemania,DE,Alimentos y animales vivos,0,2803100219,3422300059,-619199840
2007-03,Alemania,DE,Alimentos y animales vivos,0,2807875383,3738997304,-931121921
2007-04,Alemania,DE,Alimentos y animales vivos,0,2986370670,3783797094,-797426424
2007-05,Alemania,DE,Alimentos y animales vivos,0,2779995457,3321680459,-541685002
2007-06,Alemania,DE,Alimentos y animales vivos,0,2984904403,3663267080,-678362677
2007-07,Alemania,DE,Alimentos y animales vivos,0,2919709513,3594173739,-674464226
2007-08,Alemania,DE,Alimentos y animales vivos,0,3150395904,3732684239,-582288335
2007-09,Alemania,DE,Alimentos y animales vivos,0,3259182910,3828962144,-569779234
2007-10,Alemania,DE,Alimentos y animales vivos,0,3301751262,4061212867,-759461605
2007-11,Alemania,DE,Alimentos y animales vivos,0,3594031577,4008689755,-414658178
2007-12,Alemania,DE,Alimentos y animales vivos,0,3213661027,3928942182,-715281155
2008-01,Alemania,DE,Alimentos y animales vivos,0,3272220633,4046978141,-774757508
2008-02,Alemania,DE,Alimentos y animales vivos,0,3169775844,3829535279,-659759435
2008-03,Alemania,DE,Alimentos y animales vivos,0,3102485700,3890506944,-788021244
2008-04,Alemania,DE,Alimentos y animales vivos,0,3402315079,4068994347,-666679268
2008-05,Alemania,DE,Alimentos y animales vivos,0,3445890969,4094741731,-648850762
2008-06,Alemania,DE,Alimentos y animales vivos,0,3472159719,3895931083,-423771364
2008-07,Alemania,DE,Alimentos y animales vivos,0,3355270787,4018717056,-663446269
2008-08,Alemania,DE,Alimentos y animales vivos,0,3348444764,3725291678,-376846914
2008-09,Alemania,DE,Alimentos y animales vivos,0,3578519440,3906439153,-327919713
2008-10,Alemania,DE,Alimentos y animales vivos,0,3967198808,4169080261,-201881453
2008-11,Alemania,DE,Alimentos y animales vivos,0,3381813020,4039049106,-657236086
2008-12,Alemania,DE,Alimentos y animales vivos,0,3304660721,3934356157,-629695436
2009-01,Alemania,DE,Alimentos y animales vivos,0,3178635317,3922486865,-743851548
2009-02,Alemania,DE,Alimentos y animales vivos,0,3063570949,3718183691,-654612742
2009-03,Alemania,DE,Alimentos y animales vivos,0,3264801138,3999217864,-734416726
2009-04,Alemania,DE,Alimentos y animales vivos,0,3160155046,4031925416,-871770370
2009-05,Alemania,DE,Alimentos y animales vivos,0,3136618880,3721086256,-584467376
2009-06,Alemania,DE,Alimentos y animales vivos,0,3192043170,3565037318,-372994148
2009-07,Alemania,DE,Alimentos y animales vivos,0,3402473912,3735746241,-333272329
2009-08,Alemania,DE,Alimentos y animales vivos,0,3183306014,3567569115,-384263101
2009-09,Alemania,DE,Alimentos y animales vivos,0,3304969492,3695167422,-390197930
2009-10,Alemania,DE,Alimentos y animales vivos,0,3422899458,3794077804,-371178346
2009-11,Alemania,DE,Alimentos y animales vivos,0,3263113889,3658125004,-395011115
2009-12,Alemania,DE,Alimentos y animales vivos,0,3330395170,3970081748,-639686578
2010-01,Alemania,DE,Alimentos y animales vivos,0,3012333876,3708867259,-696533383
2010-02,Alemania,DE,Alimentos y animales vivos,0,3094703231,3757612984,-662909753
2010-03,Alemania,DE,Alimentos y animales vivos,0,3648359750,4294525316,-646165566
2010-04,Alemania,DE,Alimentos y animales vivos,0,3211513078,3890382333,-678869255
2010-05,Alemania,DE,Alimentos y animales vivos,0,3312627493,4084175327,-771547834
2010-06,Alemania,DE,Alimentos y animales vivos,0,3518237305,4059781508,-541544203
2010-07,Alemania,DE,Alimentos y animales vivos,0,3403361991,4046967956,-643605965
2010-08,Alemania,DE,Alimentos y animales vivos,0,3447374101,4035619502,-588245401
2010-09,Alemania,DE,Alimentos y animales vivos,0,3750694173,4137931644,-387237471
2010-10,Alemania,DE,Alimentos y animales vivos,0,3916114772,4307534065,-391419293
2010-11,Alemania,DE,Alimentos y animales vivos,0,3818694978,4401506540,-582811562
2010-12,Alemania,DE,Alimentos y animales vivos,0,3745891960,4419676073,-673784113
2011-01,Alemania,DE,Alimentos y animales vivos,0,3553323758,4351874860,-798551102
