fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance,moneda_original
2015-01,Reino Unido,GB,Alimentos y animales vivos,0,1483788858.108,4389216619.562,-2905427761.4540005,USD
2015-02,Reino Unido,GB,Alimentos y animales vivos,0,1567608947.9870005,4405704496.426,-2838095548.438999,USD
2015-03,Reino Unido,GB,Alimentos y animales vivos,0,1699526117.118,4862164668.66,-3162638551.542,USD
2015-04,Reino Unido,GB,Alimentos y animales vivos,0,1530008050.2179997,4570268816.0529995,-3040260765.835,USD
2015-05,Reino Unido,GB,Alimentos y animales vivos,0,1484218401.918,4471189713.522,-2986971311.604,USD
2015-06,Reino Unido,GB,Alimentos y animales vivos,0,1562948726.413,4825902869.281,-3262954142.868,USD
2015-07,Reino Unido,GB,Alimentos y animales vivos,0,1497061273.153,4725034691.426999,-3227973418.273999,USD
2015-08,Reino Unido,GB,Alimentos y animales vivos,0,1547718861.266,4329655305.842,-2781936444.576,USD
2015-09,Reino Unido,GB,Alimentos y animales vivos,0,1679900641.8129995,4676362989.544,-2996462347.731,USD
2015-10,Reino Unido,GB,Alimentos y animales vivos,0,1798848994.2139995,4870434393.702001,-3071585399.488001,USD
2015-11,Reino Unido,GB,Alimentos y animales vivos,0,1670640925.8299997,4755224607.846999,-3084583682.0169992,USD
2015-12,Reino Unido,GB,Alimentos y animales vivos,0,1769701902.173,4592906045.483,-2823204143.3099995,USD
2016-01,Reino Unido,GB,Alimentos y animales vivos,0,1449722552.0630002,4075166879.624,-2625444327.561,USD
2016-02,Reino Unido,GB,Alimentos y animales vivos,0,1533909178.647,4272683253.636,-2738774074.9890003,USD
2016-03,Reino Unido,GB,Alimentos y animales vivos,0,1700074960.173,4674813711.271,-2974738751.0979996,USD
2016-04,Reino Unido,GB,Alimentos y animales vivos,0,1649158601.5470002,4506877655.853,-2857719054.306,USD
2016-05,Reino Unido,GB,Alimentos y animales vivos,0,1639949626.3649998,4564410128.321,-2924460501.9560003,USD
2016-06,Reino Unido,GB,Alimentos y animales vivos,0,1590762934.76,4687917066.28,-3097154131.5199995,USD
2016-07,Reino Unido,GB,Alimentos y animales vivos,0,1407949710.7929995,4012483067.7150006,-2604533356.922001,USD
2016-08,Reino Unido,GB,Alimentos y animales vivos,0,1533927322.917,4211439960.145,-2677512637.2279997,USD
2016-09,Reino Unido,GB,Alimentos y animales vivos,0,1616806067.444,4481212552.79,-2864406485.3459997,USD
2016-10,Reino Unido,GB,Alimentos y animales vivos,0,1580055044.2180002,4303559018.384999,-2723503974.166999,USD
2016-11,Reino Unido,GB,Alimentos y animales vivos,0,1701338372.4090002,4604924296.41,-2903585924.0009995,USD
2016-12,Reino Unido,GB,Alimentos y animales vivos,0,1660364549.4280002,4533918799.497,-2873554250.0689993,USD
2017-01,Reino Unido,GB,Alimentos y animales vivos,0,5728615736.990004,16599697045.660015,-10871081308.670012,USD
2017-02,Reino Unido,GB,Alimentos y animales vivos,0,5852134696.596002,16467723321.218012,-10615588624.62201,USD
2017-03,Reino Unido,GB,Alimentos y animales vivos,0,6424613664.226,18894571767.007076,-12469958102.781076,USD
