fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones,moneda_original
2010-01,Reino Unido,GB,Australia,AU,299462665.184,328336712.387,USD
2010-02,Reino Unido,GB,Australia,AU,340339934.838,228344978.428,USD
2010-03,Reino Unido,GB,Australia,AU,434577554.329,316944970.025,USD
2010-04,Reino Unido,GB,Australia,AU,383730559.455,242338452.412,USD
2010-05,Reino Unido,GB,Australia,AU,346009583.561,181205361.652,USD
2010-06,Reino Unido,GB,Australia,AU,369852656.729,306051564.981,USD
2010-07,Reino Unido,GB,Australia,AU,427633988.936,190657529.224,USD
2010-08,Reino Unido,GB,Australia,AU,480486299.787,377832586.764,USD
2010-09,Reino Unido,GB,Australia,AU,417529150.792,278974111.302,USD
2010-10,Reino Unido,GB,Australia,AU,418285914.176,352624909.975,USD
2010-11,Reino Unido,GB,Australia,AU,436510834.982,249582988.279,USD
2010-12,Reino Unido,GB,Australia,AU,416777745.217,243565786.186,USD
2011-01,Reino Unido,GB,Australia,AU,380351887.962,377192554.849,USD
2011-02,Reino Unido,GB,Australia,AU,556943176.915,234540049.452,USD
2011-03,Reino Unido,GB,Australia,AU,461256023.291,228936765.039,USD
2011-04,Reino Unido,GB,Australia,AU,572166084.78,195527719.006,USD
2011-05,Reino Unido,GB,Australia,AU,586264008.522,330833637.005,USD
2011-06,Reino Unido,GB,Australia,AU,689364297.583,264174205.989,USD
2011-07,Reino Unido,GB,Australia,AU,734607620.625,254823758.631,USD
2011-08,Reino Unido,GB,Australia,AU,454937815.376,384159248.743,USD
2011-09,Reino Unido,GB,Australia,AU,481310969.244,349319589.208,USD
2011-10,Reino Unido,GB,Australia,AU,527796511.365,342049142.534,USD
2011-11,Reino Unido,GB,Australia,AU,696755519.191,343527256.497,USD
2011-12,Reino Unido,GB,Australia,AU,561283686.678,219771075.551,USD
2012-01,Reino Unido,GB,Australia,AU,462894247.581,561458916.408,USD
2012-02,Reino Unido,GB,Australia,AU,479393069.366,633325595.548,USD
2012-03,Reino Unido,GB,Australia,AU,597732669.075,648709355.879,USD
2012-04,Reino Unido,GB,Australia,AU,481123295.361,604215735.628,USD
2012-05,Reino Unido,GB,Australia,AU,687107077.174,491779542.084,USD
2012-06,Reino Unido,GB,Australia,AU,512170120.941,499382137.446,USD
2012-07,Reino Unido,GB,Australia,AU,602983027.735,224552717.001,USD
2012-08,Reino Unido,GB,Australia,AU,654440572.758,557671077.15,USD
2012-09,Reino Unido,GB,Australia,AU,610988407.999,891563923.853,USD
2012-10,Reino Unido,GB,Australia,AU,610704951.204,804672141.832,USD
2012-11,Reino Unido,GB,Australia,AU,678690561.183,531417219.984,USD
2012-12,Reino Unido,GB,Australia,AU,644143819.217,672666805.742,USD
2013-01,Reino Unido,GB,Australia,AU,487037538.271,430866979.862,USD
2013-02,Reino Unido,GB,Australia,AU,464427843.247,189204969.851,USD
2013-03,Reino Unido,GB,Australia,AU,602660070.656,260697152.291,USD
2013-04,Reino Unido,GB,Australia,AU,499967787.261,253146081.669,USD
2013-05,Reino Unido,GB,Australia,AU,528112934.363,263951384.39,USD
2013-06,Reino Unido,GB,Australia,AU,492302460.677,401447473.481,USD
2013-07,Reino Unido,GB,Australia,AU,511774800.429,303822212.809,USD
2013-08,Reino Unido,GB,Australia,AU,484567174.152,324251451.583,USD
2013-09,Reino Unido,GB,Australia,AU,628247688.425,247663584.176,USD
2013-10,Reino Unido,GB,Australia,AU,566919185.282,214501416.365,USD
2013-11,Reino Unido,GB,Australia,AU,571306424.485,386760617.664,USD
2013-12,Reino Unido,GB,Australia,AU,515713059.561,255374281.639,USD
2014-01,Reino Unido,GB,Australia,AU,433134539.726,429617747.703,USD
2014-02,Reino Unido,GB,Australia,AU,457405883.498,143234326.497,USD
2014-03,Reino Unido,GB,Australia,AU,574073850.118,241305045.714,USD
2014-04,Reino Unido,GB,Australia,AU,415420703.708,192513250.912,USD
2014-05,Reino Unido,GB,Australia,AU,530908971.746,365474824.799,USD
2014-06,Reino Unido,GB,Australia,AU,493325440.997,260290944.723,USD
2014-07,Reino Unido,GB,Australia,AU,573662648.24,544406986.675,USD
2014-08,Reino Unido,GB,Australia,AU,514814683.611,276050378.342,USD
2014-09,Reino Unido,GB,Australia,AU,491070916.496,199939666.478,USD
2014-10,Reino Unido,GB,Australia,AU,541555199.863,193545010.928,USD
2014-11,Reino Unido,GB,Australia,AU,540005880.98,214861621.463,USD
2014-12,Reino Unido,GB,Australia,AU,490399058.573,188184327.143,USD
2015-01,Reino Unido,GB,Australia,AU,362271624.621,228685768.044,USD
2015-02,Reino Unido,GB,Australia,AU,421295837.418,220615576.953,USD
2015-03,Reino Unido,GB,Australia,AU,458909645.642,210638001.703,USD
2015-04,Reino Unido,GB,Australia,AU,456033402.846,190369508.041,USD
2015-05,Reino Unido,GB,Australia,AU,509770773.059,250137548.744,USD
2015-06,Reino Unido,GB,Australia,AU,465242361.164,245875136.432,USD
2015-07,Reino Unido,GB,Australia,AU,582728117.723,418645663.407,USD
2015-08,Reino Unido,GB,Australia,AU,511864276.965,164315902.762,USD
2015-09,Reino Unido,GB,Australia,AU,486401506.269,237748966.868,USD
2015-10,Reino Unido,GB,Australia,AU,537016089.984,231809666.096,USD
2015-11,Reino Unido,GB,Australia,AU,485305654.828,232822878.056,USD
2015-12,Reino Unido,GB,Australia,AU,511212847.078,252293910.854,USD
2016-01,Reino Unido,GB,Australia,AU,422291791.772,288257299.495,USD
2016-02,Reino Unido,GB,Australia,AU,406010858.852,207327062.508,USD
2016-03,Reino Unido,GB,Australia,AU,407580103.366,649285725.863,USD
2016-04,Reino Unido,GB,Australia,AU,518302495.049,1422423794.297,USD
2016-05,Reino Unido,GB,Australia,AU,463362243.973,647862843.128,USD
