fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance,moneda_original
2015-01,Japón,JP,Alimentos y animales vivos,0,373610934.8599999,4972245629.346999,-4598634694.4869995,USD
2015-02,Japón,JP,Alimentos y animales vivos,0,320265108.53200006,4420102198.674,-4099837090.142,USD
2015-03,Japón,JP,Alimentos y animales vivos,0,407185298.91,4820379638.373,-4413194339.463,USD
2015-04,Japón,JP,Alimentos y animales vivos,0,409857244.93000007,5369974177.995001,-4960116933.065001,USD
2015-05,Japón,JP,Alimentos y animales vivos,0,349683957.36599994,4886692719.978,-4537008762.6119995,USD
2015-06,Japón,JP,Alimentos y animales vivos,0,360035330.43399996,5006607203.087,-4646571872.653,USD
2015-07,Japón,JP,Alimentos y animales vivos,0,370647106.1860001,4997684362.202,-4627037256.016,USD
2015-08,Japón,JP,Alimentos y animales vivos,0,373312113.3749999,4593346044.4800005,-4220033931.105001,USD
2015-09,Japón,JP,Alimentos y animales vivos,0,372142247.30999994,4764945054.328,-4392802807.018,USD
2015-10,Japón,JP,Alimentos y animales vivos,0,439623401.8950001,5119948724.842001,-4680325322.9470005,USD
2015-11,Japón,JP,Alimentos y animales vivos,0,403308434.5170001,4661270546.54,-4257962112.023,USD
2015-12,Japón,JP,Alimentos y animales vivos,0,505724599.986,4862177669.820001,-4356453069.834001,USD
2016-01,Japón,JP,Alimentos y animales vivos,0,351160755.861,4474583901.766,-4123423145.905,USD
2016-02,Japón,JP,Alimentos y animales vivos,0,346455593.34400004,4325843795.966,-3979388202.622,USD
2016-03,Japón,JP,Alimentos y animales vivos,0,422278368.204,4658836783.656,-4236558415.452,USD
2016-04,Japón,JP,Alimentos y animales vivos,0,452158281.5639999,4947150122.982,-4494991841.418,USD
2016-05,Japón,JP,Alimentos y animales vivos,0,379883571.3619999,4920470818.914999,-4540587247.5529995,USD
2016-06,Japón,JP,Alimentos y animales vivos,0,478959471.399,5023841070.092,-4544881598.693,USD
2016-07,Japón,JP,Alimentos y animales vivos,0,425232814.566,4891978900.662,-4466746086.096,USD
2016-08,Japón,JP,Alimentos y animales vivos,0,414329186.75,4984791434.25,-4570462247.5,USD
2016-09,Japón,JP,Alimentos y animales vivos,0,474939214.6709999,4814878031.228001,-4339938816.557001,USD
2016-10,Japón,JP,Alimentos y animales vivos,0,493825724.224,4842073563.935999,-4348247839.711999,USD
2016-11,Japón,JP,Alimentos y animales vivos,0,469715874.09199995,5316011198.585,-4846295324.493,USD
