fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones,moneda_original,exportaciones_orig,importaciones_orig
2013-01,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-02,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-03,Reino Unido,GB,Austria,AT,220000000.00000003,293333333.3333334,GBP,220000000.00000003,293333333.3333334
2013-04,Reino Unido,GB,Austria,AT,220000000.00000003,293333333.3333334,GBP,220000000.00000003,293333333.3333334
2013-05,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-06,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-07,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-08,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2013-09,Reino Unido,GB,Austria,AT,220000000.00000003,293333333.3333334,GBP,220000000.00000003,293333333.3333334
2013-10,Reino Unido,GB,Austria,AT,220000000.00000003,293333333.3333334,GBP,220000000.00000003,293333333.3333334
2013-11,Reino Unido,GB,Austria,AT,220000000.00000003,293333333.3333334,GBP,220000000.00000003,293333333.3333334
2013-12,Reino Unido,GB,Austria,AT,200000000.0,266666666.66666666,GBP,200000000.0,266666666.66666666
2014-01,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-02,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-03,Reino Unido,GB,Austria,AT,225500000.00000006,300666666.6666667,GBP,225500000.00000006,300666666.6666667
2014-04,Reino Unido,GB,Austria,AT,225500000.00000006,300666666.6666667,GBP,225500000.00000006,300666666.6666667
2014-05,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-06,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-07,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-08,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2014-09,Reino Unido,GB,Austria,AT,225500000.00000006,300666666.6666667,GBP,225500000.00000006,300666666.6666667
2014-10,Reino Unido,GB,Austria,AT,225500000.00000006,300666666.6666667,GBP,225500000.00000006,300666666.6666667
2014-11,Reino Unido,GB,Austria,AT,225500000.00000006,300666666.6666667,GBP,225500000.00000006,300666666.6666667
2014-12,Reino Unido,GB,Austria,AT,205000000.00000003,273333333.3333333,GBP,205000000.00000003,273333333.3333333
2015-01,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-02,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-03,Reino Unido,GB,Austria,AT,231000000.00000003,308000000.0,GBP,231000000.00000003,308000000.0
2015-04,Reino Unido,GB,Austria,AT,231000000.00000003,308000000.0,GBP,231000000.00000003,308000000.0
2015-05,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-06,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-07,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-08,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2015-09,Reino Unido,GB,Austria,AT,231000000.00000003,308000000.0,GBP,231000000.00000003,308000000.0
2015-10,Reino Unido,GB,Austria,AT,231000000.00000003,308000000.0,GBP,231000000.00000003,308000000.0
2015-11,Reino Unido,GB,Austria,AT,231000000.00000003,308000000.0,GBP,231000000.00000003,308000000.0
2015-12,Reino Unido,GB,Austria,AT,210000000.0,280000000.0,GBP,210000000.0,280000000.0
2016-01,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-02,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-03,Reino Unido,GB,Austria,AT,236500000.00000003,315333333.3333333,GBP,236500000.00000003,315333333.3333333
2016-04,Reino Unido,GB,Austria,AT,236500000.00000003,315333333.3333333,GBP,236500000.00000003,315333333.3333333
2016-05,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-06,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-07,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-08,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2016-09,Reino Unido,GB,Austria,AT,236500000.00000003,315333333.3333333,GBP,236500000.00000003,315333333.3333333
2016-10,Reino Unido,GB,Austria,AT,236500000.00000003,315333333.3333333,GBP,236500000.00000003,315333333.3333333
2016-11,Reino Unido,GB,Austria,AT,236500000.00000003,315333333.3333333,GBP,236500000.00000003,315333333.3333333
2016-12,Reino Unido,GB,Austria,AT,215000000.0,286666666.6666666,GBP,215000000.0,286666666.6666666
2017-01,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-02,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-03,Reino Unido,GB,Austria,AT,242000000.00000003,322666666.6666667,GBP,242000000.00000003,322666666.6666667
2017-04,Reino Unido,GB,Austria,AT,242000000.00000003,322666666.6666667,GBP,242000000.00000003,322666666.6666667
2017-05,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-06,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-07,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-08,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2017-09,Reino Unido,GB,Austria,AT,242000000.00000003,322666666.6666667,GBP,242000000.00000003,322666666.6666667
2017-10,Reino Unido,GB,Austria,AT,242000000.00000003,322666666.6666667,GBP,242000000.00000003,322666666.6666667
2017-11,Reino Unido,GB,Austria,AT,242000000.00000003,322666666.6666667,GBP,242000000.00000003,322666666.6666667
2017-12,Reino Unido,GB,Austria,AT,220000000.0,293333333.3333333,GBP,220000000.0,293333333.3333333
2018-01,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-02,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-03,Reino Unido,GB,Austria,AT,247500000.00000003,330000000.0,GBP,247500000.00000003,330000000.0
2018-04,Reino Unido,GB,Austria,AT,247500000.00000003,330000000.0,GBP,247500000.00000003,330000000.0
2018-05,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-06,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-07,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-08,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2018-09,Reino Unido,GB,Austria,AT,247500000.00000003,330000000.0,GBP,247500000.00000003,330000000.0
2018-10,Reino Unido,GB,Austria,AT,247500000.00000003,330000000.0,GBP,247500000.00000003,330000000.0
2018-11,Reino Unido,GB,Austria,AT,247500000.00000003,330000000.0,GBP,247500000.00000003,330000000.0
2018-12,Reino Unido,GB,Austria,AT,225000000.0,300000000.0,GBP,225000000.0,300000000.0
2019-01,Reino Unido,GB,Austria,AT,230000000.0,306666666.6666667,GBP,230000000.0,306666666.6666667
2019-02,Reino Unido,GB,Austria,AT,230000000.0,306666666.6666667,GBP,230000000.0,306666666.6666667
2019-03,Reino Unido,GB,Austria,AT,253000000.00000003,337333333.3333334,GBP,253000000.00000003,337333333.3333334
2019-04,Reino Unido,GB,Austria,AT,253000000.00000003,337333333.3333334,GBP,253000000.00000003,337333333.3333334
2019-05,Reino Unido,GB,Austria,AT,230000000.0,306666666.6666667,GBP,230000000.0,306666666.6666667
