fecha,sector_code,exportaciones,importaciones,balance,pais,pais_code,sector,moneda_original
2010-01,0,6030702862,5635135673,395567189,Estados Unidos,US,Alimentos y animales vivos,USD
2010-02,0,6173974903,5201354553,972620350,Estados Unidos,US,Alimentos y animales vivos,USD
2010-03,0,7124047919,6240532493,883515426,Estados Unidos,US,Alimentos y animales vivos,USD
2010-04,0,6489084583,5761540452,727544131,Estados Unidos,US,Alimentos y animales vivos,USD
2010-05,0,6585651740,5817256718,768395022,Estados Unidos,US,Alimentos y animales vivos,USD
2010-06,0,6432679528,5956130873,476548655,Estados Unidos,US,Alimentos y animales vivos,USD
2010-07,0,6450547393,5614453069,836094324,Estados Unidos,US,Alimentos y animales vivos,USD
2010-08,0,6877789465,5885589433,992200032,Estados Unidos,US,Alimentos y animales vivos,USD
2010-09,0,7176293192,5725386867,1450906325,Estados Unidos,US,Alimentos y animales vivos,USD
2010-10,0,7450046209,5853023136,1597023073,Estados Unidos,US,Alimentos y animales vivos,USD
2010-11,0,7940264178,6157561827,1782702351,Estados Unidos,US,Alimentos y animales vivos,USD
2010-12,0,7896726165,6478855448,1417870717,Estados Unidos,US,Alimentos y animales vivos,USD
2011-01,0,7336181032,6723200100,612980932,Estados Unidos,US,Alimentos y animales vivos,USD
2011-02,0,7510966994,6238391791,1272575203,Estados Unidos,US,Alimentos y animales vivos,USD
2011-03,0,9226923916,6984227662,2242696254,Estados Unidos,US,Alimentos y animales vivos,USD
2011-04,0,8855056616,6806808980,2048247636,Estados Unidos,US,Alimentos y animales vivos,USD
2011-05,0,8810853105,7174273789,1636579316,Estados Unidos,US,Alimentos y animales vivos,USD
2011-06,0,8286433883,7094062997,1192370886,Estados Unidos,US,Alimentos y animales vivos,USD
2011-07,0,8398256576,6438561690,1959694886,Estados Unidos,US,Alimentos y animales vivos,USD
2011-08,0,8857008164,6893751491,1963256673,Estados Unidos,US,Alimentos y animales vivos,USD
2011-09,0,8231234592,6601252601,1629981991,Estados Unidos,US,Alimentos y animales vivos,USD
2011-10,0,8547271686,7119537182,1427734504,Estados Unidos,US,Alimentos y animales vivos,USD
2011-11,0,8922237723,7107419312,1814818411,Estados Unidos,US,Alimentos y animales vivos,USD
2011-12,0,8607545547,7299141553,1308403994,Estados Unidos,US,Alimentos y animales vivos,USD
2012-01,0,7572811647,7740317353,-167505706,Estados Unidos,US,Alimentos y animales vivos,USD
2012-02,0,7794129658,6803594198,990535460,Estados Unidos,US,Alimentos y animales vivos,USD
2012-03,0,8677073258,7391058073,1286015185,Estados Unidos,US,Alimentos y animales vivos,USD
2012-04,0,8322650265,7179027355,1143622910,Estados Unidos,US,Alimentos y animales vivos,USD
2012-05,0,8554692627,7359111419,1195581208,Estados Unidos,US,Alimentos y animales vivos,USD
2012-06,0,8059390734,6908973734,1150417000,Estados Unidos,US,Alimentos y animales vivos,USD
2012-07,0,7952507486,6754107251,1198400235,Estados Unidos,US,Alimentos y animales vivos,USD
2012-08,0,8618885840,6786513584,1832372256,Estados Unidos,US,Alimentos y animales vivos,USD
2012-09,0,8506914675,6280840127,2226074548,Estados Unidos,US,Alimentos y animales vivos,USD
2012-10,0,9010967882,6911440232,2099527650,Estados Unidos,US,Alimentos y animales vivos,USD
2012-11,0,8825531242,7186827568,1638703674,Estados Unidos,US,Alimentos y animales vivos,USD
2012-12,0,8508880151,7278013576,1230866575,Estados Unidos,US,Alimentos y animales vivos,USD
2013-01,0,8150832088,7483163414,667668674,Estados Unidos,US,Alimentos y animales vivos,USD
2013-02,0,8339544684,6911222295,1428322389,Estados Unidos,US,Alimentos y animales vivos,USD
2013-03,0,8936578768,7663433538,1273145230,Estados Unidos,US,Alimentos y animales vivos,USD
2013-04,0,8529537575,7710444563,819093012,Estados Unidos,US,Alimentos y animales vivos,USD
2013-05,0,8551453868,8012154497,539299371,Estados Unidos,US,Alimentos y animales vivos,USD
