fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones,moneda_original
2010-01,Estados Unidos,US,Austria,AT,309983772.0,424769062.0,USD
2010-02,Estados Unidos,US,Austria,AT,180887572.0,437315318.0,USD
2010-03,Estados Unidos,US,Austria,AT,168324526.0,562382277.0,USD
2010-04,Estados Unidos,US,Austria,AT,160105859.0,507852044.0,USD
2010-05,Estados Unidos,US,Austria,AT,238545543.0,584696248.0,USD
2010-06,Estados Unidos,US,Austria,AT,138494126.0,612481224.0,USD
2010-07,Estados Unidos,US,Austria,AT,148642365.0,626244543.0,USD
2010-08,Estados Unidos,US,Austria,AT,148147123.0,606879771.0,USD
2010-09,Estados Unidos,US,Austria,AT,170301228.0,552717139.0,USD
2010-10,Estados Unidos,US,Austria,AT,143778638.0,613456978.0,USD
2010-11,Estados Unidos,US,Austria,AT,157174719.0,645650768.0,USD
2010-12,Estados Unidos,US,Austria,AT,464175972.0,660877265.0,USD
2011-01,Estados Unidos,US,Austria,AT,175899855.0,581807581.0,USD
2011-02,Estados Unidos,US,Austria,AT,184715462.0,691989724.0,USD
2011-03,Estados Unidos,US,Austria,AT,196777636.0,841320557.0,USD
2011-04,Estados Unidos,US,Austria,AT,194307067.0,795315380.0,USD
2011-05,Estados Unidos,US,Austria,AT,177284717.0,807729848.0,USD
2011-06,Estados Unidos,US,Austria,AT,388234943.0,770016381.0,USD
2011-07,Estados Unidos,US,Austria,AT,162692921.0,857887297.0,USD
2011-08,Estados Unidos,US,Austria,AT,184811056.0,912043324.0,USD
2011-09,Estados Unidos,US,Austria,AT,172885553.0,788372588.0,USD
2011-10,Estados Unidos,US,Austria,AT,381518098.0,876558434.0,USD
2011-11,Estados Unidos,US,Austria,AT,324189820.0,772864504.0,USD
2011-12,Estados Unidos,US,Austria,AT,349984665.0,786827188.0,USD
2012-01,Estados Unidos,US,Austria,AT,212575561.0,759409232.0,USD
2012-02,Estados Unidos,US,Austria,AT,175804983.0,744576483.0,USD
2012-03,Estados Unidos,US,Austria,AT,204574598.0,857439398.0,USD
2012-04,Estados Unidos,US,Austria,AT,229038122.0,728148467.0,USD
2012-05,Estados Unidos,US,Austria,AT,220027199.0,818302256.0,USD
2012-06,Estados Unidos,US,Austria,AT,647007365.0,776473539.0,USD
2012-07,Estados Unidos,US,Austria,AT,480931392.0,772998670.0,USD
2012-08,Estados Unidos,US,Austria,AT,380644144.0,782963422.0,USD
2012-09,Estados Unidos,US,Austria,AT,226413550.0,758526843.0,USD
2012-10,Estados Unidos,US,Austria,AT,185825659.0,782957968.0,USD
2012-11,Estados Unidos,US,Austria,AT,182267673.0,816702925.0,USD
2012-12,Estados Unidos,US,Austria,AT,274547772.0,850655131.0,USD
2013-01,Estados Unidos,US,Austria,AT,223307476.0,706656448.0,USD
2013-02,Estados Unidos,US,Austria,AT,200542961.0,802305335.0,USD
2013-03,Estados Unidos,US,Austria,AT,489172999.0,839122481.0,USD
2013-04,Estados Unidos,US,Austria,AT,325938733.0,813984334.0,USD
2013-05,Estados Unidos,US,Austria,AT,320187358.0,837814598.0,USD
2013-06,Estados Unidos,US,Austria,AT,228522646.0,789906441.0,USD
2013-07,Estados Unidos,US,Austria,AT,599343492.0,839606101.0,USD
2013-08,Estados Unidos,US,Austria,AT,199015344.0,831755165.0,USD
2013-09,Estados Unidos,US,Austria,AT,338037909.0,788677615.0,USD
2013-10,Estados Unidos,US,Austria,AT,199470673.0,876302099.0,USD
2013-11,Estados Unidos,US,Austria,AT,208223792.0,874253394.0,USD
2013-12,Estados Unidos,US,Austria,AT,188178950.0,780043606.0,USD
2014-01,Estados Unidos,US,Austria,AT,452339614.0,741259320.0,USD
2014-02,Estados Unidos,US,Austria,AT,558499710.0,750239024.0,USD
2014-03,Estados Unidos,US,Austria,AT,209735444.0,996664001.0,USD
2014-04,Estados Unidos,US,Austria,AT,585973017.0,949555894.0,USD
2014-05,Estados Unidos,US,Austria,AT,400549668.0,932480833.0,USD
2014-06,Estados Unidos,US,Austria,AT,340723686.0,947328739.0,USD
2014-07,Estados Unidos,US,Austria,AT,175179089.0,974777152.0,USD
2014-08,Estados Unidos,US,Austria,AT,199256322.0,977259124.0,USD
2014-09,Estados Unidos,US,Austria,AT,224601385.0,915428223.0,USD
2014-10,Estados Unidos,US,Austria,AT,270291294.0,936077050.0,USD
2014-11,Estados Unidos,US,Austria,AT,212433361.0,904492791.0,USD
2014-12,Estados Unidos,US,Austria,AT,195214073.0,802467773.0,USD
2015-01,Estados Unidos,US,Austria,AT,790480291.0,844242303.0,USD
